sumlev,geocode,namelsad,coname,state,county,placefp,pop2020,hu2020
155,3700160125,Aberdeen town,Moore County,37,125,160,8516,3879
155,3700440059,Advance CDP,Davie County,37,59,440,1499,631
155,3700500091,Ahoskie town,Hertford County,37,91,500,4891,2326
155,3700640001,Alamance village,Alamance County,37,1,640,988,400
155,3700680167,Albemarle city,Stanly County,37,167,680,16432,7511
155,3700880071,Alexis CDP,Gaston County,37,71,880,589,276
155,3701000137,Alliance town,Pamlico County,37,137,1000,733,328
155,3701140001,Altamahaw CDP,Alamance County,37,1,1140,334,150
155,3701340085,Anderson Creek CDP,Harnett County,37,85,1340,13636,5175
155,3701380039,Andrews town,Cherokee County,37,39,1380,1667,895
155,3701400085,Angier town,Harnett County,37,85,1400,4709,1980
155,3701400183,Angier town,Wake County,37,183,1400,556,182
155,3701420007,Ansonville town,Anson County,37,7,1420,440,213
155,3701520183,Apex town,Wake County,37,183,1520,58780,22151
155,3701560167,Aquadale CDP,Stanly County,37,167,1560,348,169
155,3701640137,Arapahoe town,Pamlico County,37,137,1640,416,219
155,3701720081,Archdale city,Guilford County,37,81,1720,380,145
155,3701720151,Archdale city,Randolph County,37,151,1720,11527,4993
155,3701760101,Archer Lodge town,Johnston County,37,101,1760,4797,1707
155,3701972041,Arrowhead Beach CDP,Chowan County,37,41,1972,640,487
155,3702080151,Asheboro city,Randolph County,37,151,2080,27156,11855
155,3702140021,Asheville city,Buncombe County,37,21,2140,94589,47606
155,3702240093,Ashley Heights CDP,Hoke County,37,93,2240,301,150
155,3702320015,Askewville town,Bertie County,37,15,2320,184,97
155,3702460141,Atkinson town,Pender County,37,141,2460,296,126
155,3702480031,Atlantic CDP,Carteret County,37,31,2480,468,374
155,3702500031,Atlantic Beach town,Carteret County,37,31,2500,1364,4844
155,3702580015,Aulander town,Bertie County,37,15,2580,763,403
155,3702620013,Aurora town,Beaufort County,37,13,2620,455,275
155,3702700163,Autryville town,Sampson County,37,163,2700,167,98
155,3702760021,Avery Creek CDP,Buncombe County,37,21,2760,2241,917
155,3702780055,Avon CDP,Dare County,37,55,2780,832,1631
155,3702840147,Ayden town,Pitt County,37,147,2840,4977,2516
155,3702960167,Badin town,Stanly County,37,167,2960,2024,605
155,3703020127,Bailey town,Nash County,37,127,3020,568,246
155,3703100121,Bakersville town,Mitchell County,37,121,3100,450,244
155,3703150019,Bald Head Island village,Brunswick County,37,19,3150,268,1050
155,3703220089,Balfour CDP,Henderson County,37,89,3220,1335,595
155,3703500011,Banner Elk town,Avery County,37,11,3500,1049,622
155,3703640089,Barker Heights CDP,Henderson County,37,89,3640,1249,502
155,3703665155,Barker Ten Mile CDP,Robeson County,37,155,3665,937,391
155,3703720021,Barnardsville CDP,Buncombe County,37,21,3720,559,255
155,3703840013,Bath town,Beaufort County,37,13,3840,245,163
155,3703960137,Bayboro town,Pamlico County,37,137,3960,1161,312
155,3704015129,Bayshore CDP,New Hanover County,37,129,4015,3833,1583
155,3704040013,Bayview CDP,Beaufort County,37,13,4040,298,264
155,3704180117,Bear Grass town,Martin County,37,117,4180,89,41
155,3704260031,Beaufort town,Carteret County,37,31,4260,4464,3094
155,3704510189,Beech Mountain town,Watauga County,37,189,4510,613,1995
155,3704510011,Beech Mountain town,Avery County,37,11,4510,62,361
155,3704640013,Belhaven town,Beaufort County,37,13,4640,1410,893
155,3704680147,Bell Arthur CDP,Pitt County,37,147,4680,477,190
155,3704840071,Belmont city,Gaston County,37,71,4840,15010,6426
155,3704950019,Belville town,Brunswick County,37,19,4950,2406,1014
155,3704955147,Belvoir CDP,Pitt County,37,147,4955,315,120
155,3704960045,Belwood town,Cleveland County,37,45,4960,857,426
155,3705020037,Bennett CDP,Chatham County,37,37,5020,284,137
155,3705040085,Benson town,Harnett County,37,85,5040,0,0
155,3705040101,Benson town,Johnston County,37,101,5040,3967,1763
155,3705049021,Bent Creek CDP,Buncombe County,37,21,5049,1402,609
155,3705135059,Bermuda Run town,Davie County,37,59,5135,3120,1593
155,3705220071,Bessemer City city,Gaston County,37,71,5220,5428,2445
155,3705340067,Bethania town,Forsyth County,37,67,5340,344,168
155,3705460147,Bethel town,Pitt County,37,147,5460,1373,700
155,3705530003,Bethlehem CDP,Alexander County,37,3,5530,4491,2014
155,3705660061,Beulaville town,Duplin County,37,61,5660,1116,648
155,3705880021,Biltmore Forest town,Buncombe County,37,21,5880,1409,683
155,3706000123,Biscoe town,Montgomery County,37,123,6000,1848,669
155,3706080195,Black Creek town,Wilson County,37,195,6080,692,318
155,3706140021,Black Mountain town,Buncombe County,37,21,6140,8426,4476
155,3706240017,Bladenboro town,Bladen County,37,17,6240,1648,851
155,3706500027,Blowing Rock town,Caldwell County,37,27,6500,91,153
155,3706500189,Blowing Rock town,Watauga County,37,189,6500,1285,1931
155,3706510129,Blue Clay Farms CDP,New Hanover County,37,129,6510,168,72
155,3706660047,Boardman town,Columbus County,37,47,6660,166,82
155,3706740031,Bogue town,Carteret County,37,31,6740,695,319
155,3706760019,Boiling Spring Lakes city,Brunswick County,37,19,6760,5943,2605
155,3706800045,Boiling Springs town,Cleveland County,37,45,6800,4615,1465
155,3706820019,Bolivia town,Brunswick County,37,19,6820,149,69
155,3706860047,Bolton town,Columbus County,37,47,6860,519,273
155,3706980163,Bonnetsville CDP,Sampson County,37,163,6980,318,151
155,3707080189,Boone town,Watauga County,37,189,7080,19092,7217
155,3707140197,Boonville town,Yadkin County,37,197,7140,1185,555
155,3707220161,Bostic town,Rutherford County,37,161,7220,355,180
155,3707340061,Bowdens CDP,Duplin County,37,61,7340,196,116
155,3707400093,Bowmore CDP,Hoke County,37,93,7400,76,43
155,3707588031,Brandywine Bay CDP,Carteret County,37,31,7588,1153,629
155,3707720175,Brevard city,Transylvania County,37,175,7720,7744,3935
155,3707748037,Briar Chapel CDP,Chatham County,37,37,7748,5108,1955
155,3707765049,Brices Creek CDP,Craven County,37,49,7765,3542,1370
155,3707860049,Bridgeton town,Craven County,37,49,7860,349,217
155,3708040031,Broad Creek CDP,Carteret County,37,31,8040,1968,1287
155,3708080085,Broadway town,Harnett County,37,85,8080,0,1
155,3708080105,Broadway town,Lee County,37,105,8080,1267,563
155,3708110191,Brogden CDP,Wayne County,37,191,8110,2510,1084
155,3708140035,Brookford town,Catawba County,37,35,8140,442,218
155,3708420047,Brunswick town,Columbus County,37,47,8420,973,157
155,3708480173,Bryson City town,Swain County,37,173,8480,1558,836
155,3708760085,Buies Creek CDP,Harnett County,37,85,8760,3253,1170
155,3708860069,Bunn town,Franklin County,37,69,8860,327,166
155,3708880085,Bunnlevel CDP,Harnett County,37,85,8880,516,246
155,3708960141,Burgaw town,Pender County,37,141,8960,3088,1418
155,3709060001,Burlington city,Alamance County,37,1,9060,55481,25048
155,3709060081,Burlington city,Guilford County,37,81,9060,1822,723
155,3709140199,Burnsville town,Yancey County,37,199,9140,1614,870
155,3709360077,Butner town,Granville County,37,77,9360,8397,3112
155,3709380017,Butters CDP,Bladen County,37,17,9380,250,131
155,3709400055,Buxton CDP,Dare County,37,55,9400,1181,940
155,3709530027,Cajah's Mountain town,Caldwell County,37,27,9530,2722,1196
155,3709540019,Calabash town,Brunswick County,37,19,9540,2011,1546
155,3709760061,Calypso town,Duplin County,37,61,9760,327,184
155,3709780029,Camden CDP,Camden County,37,29,9780,620,279
155,3709800125,Cameron town,Moore County,37,125,9800,244,137
155,3710120123,Candor town,Montgomery County,37,123,10120,813,322
155,3710120125,Candor town,Moore County,37,125,10120,0,0
155,3710240087,Canton town,Haywood County,37,87,10240,4422,2086
155,3710260031,Cape Carteret town,Carteret County,37,31,10260,2224,1142
155,3710264041,Cape Colony CDP,Chowan County,37,41,10264,691,383
155,3710460161,Caroleen CDP,Rutherford County,37,161,10460,560,265
155,3710500129,Carolina Beach town,New Hanover County,37,129,10500,6564,5618
155,3710532037,Carolina Meadows CDP,Chatham County,37,37,10532,727,488
155,3710550019,Carolina Shores town,Brunswick County,37,19,10550,4588,2767
155,3710620135,Carrboro town,Orange County,37,135,10620,21295,9912
155,3710680125,Carthage town,Moore County,37,125,10680,2775,1216
155,3710740037,Cary town,Chatham County,37,37,10740,3709,1985
155,3710740183,Cary town,Wake County,37,183,10740,171012,68186
155,3710760045,Casar town,Cleveland County,37,45,10760,305,150
155,3710800099,Cashiers CDP,Jackson County,37,99,10800,657,682
155,3710860127,Castalia town,Nash County,37,127,10860,264,129
155,3710880129,Castle Hayne CDP,New Hanover County,37,129,10880,1243,564
155,3710960019,Caswell Beach town,Brunswick County,37,19,10960,395,681
155,3710980035,Catawba town,Catawba County,37,35,10980,702,307
155,3711340031,Cedar Point town,Carteret County,37,31,11340,1764,1237
155,3711352027,Cedar Rock village,Caldwell County,37,27,11352,301,136
155,3711560069,Centerville CDP,Franklin County,37,69,11560,149,85
155,3711620047,Cerro Gordo town,Columbus County,37,47,11620,131,69
155,3711640047,Chadbourn town,Columbus County,37,47,11640,1574,845
155,3711800063,Chapel Hill town,Durham County,37,63,11800,2906,1575
155,3711800135,Chapel Hill town,Orange County,37,135,11800,59054,22138
155,3712000119,Charlotte city,Mecklenburg County,37,119,12000,874579,379904
155,3712140099,Cherokee CDP,Jackson County,37,99,12140,1166,466
155,3712140173,Cherokee CDP,Swain County,37,173,12140,1029,452
155,3712186049,Cherry Branch CDP,Craven County,37,49,12186,1211,461
155,3712340071,Cherryville city,Gaston County,37,71,12340,6078,2745
155,3712460161,Chimney Rock Village village,Rutherford County,37,161,12460,140,168
155,3712480159,China Grove town,Rowan County,37,159,12480,4434,1911
155,3712520061,Chinquapin CDP,Duplin County,37,61,12520,86,65
155,3712580013,Chocowinity town,Beaufort County,37,13,12580,722,389
155,3712590041,Chowan Beach CDP,Chowan County,37,41,12590,385,188
155,3712720035,Claremont city,Catawba County,37,35,12720,1692,774
155,3712780017,Clarkton town,Bladen County,37,17,12780,614,297
155,3712860101,Clayton town,Johnston County,37,101,12860,26307,10576
155,3712860183,Clayton town,Wake County,37,183,12860,0,0
155,3712960067,Clemmons village,Forsyth County,37,67,12960,21163,8897
155,3713000159,Cleveland town,Rowan County,37,159,13000,846,374
155,3713100161,Cliffside CDP,Rutherford County,37,161,13100,530,234
155,3713240163,Clinton city,Sampson County,37,163,13240,8383,3772
155,3713280087,Clyde town,Haywood County,37,87,13280,1368,637
155,3713360085,Coats town,Harnett County,37,85,13360,2155,998
155,3713460091,Cofield village,Hertford County,37,91,13460,267,157
155,3713500053,Coinjock CDP,Currituck County,37,53,13500,337,165
155,3713560015,Colerain town,Bertie County,37,15,13560,217,113
155,3713940177,Columbia town,Tyrrell County,37,177,13940,610,349
155,3713980149,Columbus town,Polk County,37,149,13980,1060,472
155,3714060091,Como town,Hertford County,37,91,14060,67,43
155,3714100025,Concord city,Cabarrus County,37,25,14100,105240,40772
155,3714200065,Conetoe town,Edgecombe County,37,65,14200,198,118
155,3714280023,Connelly Springs town,Burke County,37,23,14280,1529,838
155,3714340035,Conover city,Catawba County,37,35,14340,8421,3805
155,3714400131,Conway town,Northampton County,37,131,14400,752,363
155,3714460059,Cooleemee town,Davie County,37,59,14460,940,424
155,3714600153,Cordova CDP,Richmond County,37,153,14600,1653,738
155,3714700119,Cornelius town,Mecklenburg County,37,119,14700,31412,14536
155,3715020049,Cove City town,Craven County,37,49,15020,378,197
155,3715040189,Cove Creek CDP,Watauga County,37,189,15040,1068,573
155,3715260071,Cramerton town,Gaston County,37,71,15260,5296,2506
155,3715320077,Creedmoor city,Granville County,37,77,15320,4866,1953
155,3715420187,Creswell town,Washington County,37,187,15420,207,122
155,3715440193,Cricket CDP,Wilkes County,37,193,15440,1966,873
155,3715580011,Crossnore town,Avery County,37,11,15580,143,75
155,3715640109,Crouse CDP,Lincoln County,37,109,15640,322,160
155,3715880099,Cullowhee CDP,Jackson County,37,99,15880,7682,2366
155,3716084013,Cypress Landing CDP,Beaufort County,37,13,16084,1257,661
155,3716180071,Dallas town,Gaston County,37,71,16180,5927,2522
155,3716220089,Dana CDP,Henderson County,37,89,16220,3683,1463
155,3716240169,Danbury town,Stokes County,37,169,16240,189,51
155,3716400097,Davidson town,Iredell County,37,97,16400,378,163
155,3716400119,Davidson town,Mecklenburg County,37,119,16400,14728,5735
155,3716480031,Davis CDP,Carteret County,37,31,16480,311,240
155,3716720107,Deep Run CDP,Lenoir County,37,107,16720,572,248
155,3716730165,Deercroft CDP,Scotland County,37,165,16730,414,190
155,3716780047,Delco CDP,Columbus County,37,47,16780,287,143
155,3716820071,Dellview town,Gaston County,37,71,16820,6,3
155,3716860163,Delway CDP,Sampson County,37,163,16860,150,89
155,3716980057,Denton town,Davidson County,37,57,16980,1494,731
155,3717000109,Denver CDP,Lincoln County,37,109,17000,2697,1206
155,3717180099,Dillsboro town,Jackson County,37,99,17180,213,136
155,3717325153,Dobbins Heights town,Richmond County,37,153,17325,687,378
155,3717340171,Dobson town,Surry County,37,171,17340,1462,594
155,3717520127,Dortches town,Nash County,37,127,17520,1082,477
155,3717660049,Dover town,Craven County,37,49,17660,349,186
155,3717860023,Drexel town,Burke County,37,23,17860,1760,811
155,3718040017,Dublin town,Bladen County,37,17,18040,267,120
155,3718060055,Duck town,Dare County,37,55,18060,742,2461
155,3718080191,Dudley CDP,Wayne County,37,191,18080,826,364
155,3718300093,Dundarrach CDP,Hoke County,37,93,18300,34,18
155,3718320085,Dunn city,Harnett County,37,85,18320,8446,4150
155,3719000135,Durham city,Orange County,37,135,19000,144,17
155,3719000183,Durham city,Wake County,37,183,19000,269,126
155,3719000063,Durham city,Durham County,37,63,19000,283093,127862
155,3719140045,Earl town,Cleveland County,37,45,19140,198,106
155,3719300017,East Arcadia town,Bladen County,37,17,19300,418,198
155,3719320197,East Bend town,Yadkin County,37,197,19320,634,291
155,3719420089,East Flat Rock CDP,Henderson County,37,89,19420,5757,2286
155,3719620165,East Laurinburg town,Scotland County,37,165,19620,234,122
155,3719740051,Eastover town,Cumberland County,37,51,19740,3656,1658
155,3719800153,East Rockingham CDP,Richmond County,37,153,19800,3471,1572
155,3719860159,East Spencer town,Rowan County,37,159,19860,1567,784
155,3720080157,Eden city,Rockingham County,37,157,20080,15421,7740
155,3720120041,Edenton town,Chowan County,37,41,20120,4460,2449
155,3720280089,Edneyville CDP,Henderson County,37,89,20280,2395,1065
155,3720420135,Efland CDP,Orange County,37,135,20420,852,369
155,3720580139,Elizabeth City city,Pasquotank County,37,139,20580,18593,8616
155,3720580029,Elizabeth City city,Camden County,37,29,20580,38,26
155,3720600017,Elizabethtown town,Bladen County,37,17,20600,3296,1631
155,3720620193,Elkin town,Wilkes County,37,193,20620,73,38
155,3720620171,Elkin town,Surry County,37,171,20620,4049,2021
155,3720700011,Elk Park town,Avery County,37,11,20700,542,287
155,3720780161,Ellenboro town,Rutherford County,37,161,20780,723,353
155,3720840153,Ellerbe town,Richmond County,37,153,20840,864,426
155,3720980195,Elm City town,Wilson County,37,195,20980,1218,588
155,3720980127,Elm City town,Nash County,37,127,20980,0,0
155,3721095001,Elon town,Alamance County,37,1,21095,11336,3175
155,3721120155,Elrod CDP,Robeson County,37,155,21120,391,158
155,3721130191,Elroy CDP,Wayne County,37,191,21130,3755,1701
155,3721160031,Emerald Isle town,Carteret County,37,31,21160,3847,6769
155,3721260021,Emma CDP,Buncombe County,37,21,21260,2174,872
155,3721360083,Enfield town,Halifax County,37,83,21360,1865,1034
155,3721380095,Engelhard CDP,Hyde County,37,95,21380,374,233
155,3721500159,Enochville CDP,Rowan County,37,159,21500,2893,1258
155,3721740085,Erwin town,Harnett County,37,85,21740,4542,2026
155,3721880089,Etowah CDP,Henderson County,37,89,21880,7642,3680
155,3721960191,Eureka town,Wayne County,37,191,21960,214,102
155,3722040117,Everetts town,Martin County,37,117,22040,150,82
155,3722080047,Evergreen CDP,Columbus County,37,47,22080,336,165
155,3722240047,Fair Bluff town,Columbus County,37,47,22240,709,417
155,3722280095,Fairfield CDP,Hyde County,37,95,22280,231,127
155,3722305049,Fairfield Harbour CDP,Craven County,37,49,22305,2767,1744
155,3722360155,Fairmont town,Robeson County,37,155,22360,2191,1107
155,3722380193,Fairplains CDP,Wilkes County,37,193,22380,2029,939
155,3722440021,Fairview CDP,Buncombe County,37,21,22440,2771,1256
155,3722500179,Fairview town,Union County,37,179,22500,3456,1364
155,3722560061,Faison town,Duplin County,37,61,22560,784,387
155,3722560163,Faison town,Sampson County,37,163,22560,0,0
155,3722600159,Faith town,Rowan County,37,159,22600,819,354
155,3722620163,Falcon town,Sampson County,37,163,22620,0,0
155,3722620051,Falcon town,Cumberland County,37,51,22620,324,88
155,3722640147,Falkland town,Pitt County,37,147,22640,47,29
155,3722720045,Fallston town,Cleveland County,37,45,22720,627,261
155,3722800059,Farmington CDP,Davie County,37,59,22800,291,140
155,3722820147,Farmville town,Pitt County,37,147,22820,4461,2237
155,3722920051,Fayetteville city,Cumberland County,37,51,22920,208501,90326
155,3722982037,Fearrington Village CDP,Chatham County,37,37,22982,2557,1605
155,3723520093,Five Points CDP,Hoke County,37,93,23520,961,373
155,3723600089,Flat Rock village,Henderson County,37,89,23600,3486,2176
155,3723640171,Flat Rock CDP,Surry County,37,171,23640,1326,720
155,3723760089,Fletcher town,Henderson County,37,89,23760,7987,3642
155,3723980075,Fontana Dam town,Graham County,37,75,23980,13,70
155,3724080161,Forest City town,Rutherford County,37,161,24080,7377,3511
155,3724170099,Forest Hills village,Jackson County,37,99,24170,303,194
155,3724198081,Forest Oaks CDP,Guilford County,37,81,24198,4209,1664
155,3724380189,Foscoe CDP,Watauga County,37,189,24380,1457,1555
155,3724440147,Fountain town,Pitt County,37,147,24440,385,195
155,3724520101,Four Oaks town,Johnston County,37,101,24520,2158,955
155,3724570125,Foxfire village,Moore County,37,125,24570,1288,648
155,3724640113,Franklin town,Macon County,37,113,24640,4175,2299
155,3724720069,Franklinton town,Franklin County,37,69,24720,2456,1169
155,3724740151,Franklinville town,Randolph County,37,151,24740,1197,468
155,3724900191,Fremont town,Wayne County,37,191,24900,1196,598
155,3725020055,Frisco CDP,Dare County,37,55,25020,994,1088
155,3725160089,Fruitland CDP,Henderson County,37,89,25160,2257,1349
155,3725300085,Fuquay-Varina town,Harnett County,37,85,25300,0,0
